id,level,type,arabic_text,korean_meaning,sentence_analysis
80001,8,sentence,ذَهَبَ الطَّالِبُ إِلَى الْمَدْرَسَةِ,그 학생은 학교에 갔다,"{""verb"":""ذَهَبَ"",""subject"":""الطَّالِبُ"",""preposition"":""إِلَى"",""object"":""الْمَدْرَسَةِ""}"
80002,8,sentence,كَتَبَ الْوَلَدُ رِسَالَةً طَوِيلَةً,그 소년은 긴 편지를 썼다,"{""verb"":""كَتَبَ"",""subject"":""الْوَلَدُ"",""object"":""رِسَالَةً"",""adjective"":""طَوِيلَةً""}"
80003,8,sentence,قَرَأَتِ الْبِنْتُ الْكِتَابَ الْجَدِيدَ,그 소녀는 새 책을 읽었다,"{""verb"":""قَرَأَتِ"",""subject"":""الْبِنْتُ"",""object"":""الْكِتَابَ"",""adjective"":""الْجَدِيدَ""}"
80004,8,sentence,يَدْرُسُ الطُّلَّابُ فِي الْجَامِعَةِ,학생들은 대학에서 공부한다,"{""verb"":""يَدْرُسُ"",""subject"":""الطُّلَّابُ"",""preposition"":""فِي"",""object"":""الْجَامِعَةِ""}"
80005,8,sentence,أَكَلَ الرَّجُلُ الطَّعَامَ اللَّذِيذَ,그 남자는 맛있는 음식을 먹었다,"{""verb"":""أَكَلَ"",""subject"":""الرَّجُلُ"",""object"":""الطَّعَامَ"",""adjective"":""اللَّذِيذَ""}"
80006,8,sentence,تَتَكَلَّمُ الْمَرْأَةُ بِاللُّغَةِ الْعَرَبِيَّةِ,그 여자는 아랍어로 말한다,"{""verb"":""تَتَكَلَّمُ"",""subject"":""الْمَرْأَةُ"",""preposition"":""بِ"",""object"":""اللُّغَةِ الْعَرَبِيَّةِ""}"
80007,8,sentence,اِسْتَقْبَلَ الْمُدِيرُ الضَّيْفَ بِحَرَارَةٍ,관리자가 손님을 따뜻하게 맞이했다,"{""verb"":""اِسْتَقْبَلَ"",""subject"":""الْمُدِيرُ"",""object"":""الضَّيْفَ"",""adverb"":""بِحَرَارَةٍ""}"
80008,8,sentence,يَعْمَلُ أَبِي فِي الشَّرِكَةِ الْكَبِيرَةِ,나의 아버지는 큰 회사에서 일한다,"{""verb"":""يَعْمَلُ"",""subject"":""أَبِي"",""preposition"":""فِي"",""object"":""الشَّرِكَةِ"",""adjective"":""الْكَبِيرَةِ""}"
80009,8,sentence,شَاهَدْتُ الْفِيلْمَ مَعَ أَصْدِقَائِي,나는 친구들과 영화를 봤다,"{""verb"":""شَاهَدْتُ"",""subject"":""أَنَا (hidden)"",""object"":""الْفِيلْمَ"",""preposition"":""مَعَ"",""companion"":""أَصْدِقَائِي""}"
80010,8,sentence,سَيُسَافِرُ الْأُسْتَاذُ إِلَى مِصْرَ غَدًا,선생님은 내일 이집트로 여행할 것이다,"{""verb"":""سَيُسَافِرُ"",""subject"":""الْأُسْتَاذُ"",""preposition"":""إِلَى"",""object"":""مِصْرَ"",""time"":""غَدًا""}"
